seed,holdout_site,feature,group,coefficient
7,I0002,caisr_sleep_tst_sec,sleep_architecture,0.0
7,I0002,caisr_sleep_se,sleep_architecture,0.0
7,I0002,caisr_sleep_sol_sec,sleep_architecture,0.23179223752836164
7,I0002,caisr_sleep_rem_latency_sec,sleep_architecture,0.0
7,I0002,caisr_sleep_waso_sec,sleep_architecture,0.32788293625618886
7,I0002,caisr_sleep_n1_pct,sleep_architecture,-0.2927565215137865
7,I0002,caisr_sleep_n2_pct,sleep_architecture,0.2196847410791904
7,I0002,caisr_sleep_n3_pct,sleep_architecture,0.09094225789968725
7,I0002,caisr_sleep_rem_pct,sleep_architecture,0.0
7,I0002,caisr_sleep_transition_rate,fragmentation_uncertainty,0.0
7,I0002,caisr_sleep_short_bout_ratio,fragmentation_uncertainty,0.04516690859910316
7,I0002,caisr_sleep_mean_stage_entropy,fragmentation_uncertainty,0.5558560802639542
7,I0002,caisr_arousal_arousal_index,arousal,-0.207901676853342
7,I0002,caisr_arousal_arousal_burden_ratio,arousal,-0.04946854976990716
7,I0002,caisr_arousal_mean_arousal_duration,arousal,0.0
7,I0002,caisr_respiratory_respiratory_event_index,respiratory,0.0
7,I0002,caisr_respiratory_respiratory_burden_ratio,respiratory,-0.15892380545934995
7,I0002,caisr_respiratory_mean_resp_duration,respiratory,0.232229406255412
7,I0002,caisr_limb_limb_movement_index,limb,0.3410996385241794
7,I0002,caisr_limb_plmi,limb,0.20303074390828174
7,I0006,caisr_sleep_tst_sec,sleep_architecture,0.0
7,I0006,caisr_sleep_se,sleep_architecture,-0.233335069866813
7,I0006,caisr_sleep_sol_sec,sleep_architecture,0.03315705957753105
7,I0006,caisr_sleep_rem_latency_sec,sleep_architecture,-0.004736725484844828
7,I0006,caisr_sleep_waso_sec,sleep_architecture,0.24923763537622584
7,I0006,caisr_sleep_n1_pct,sleep_architecture,-0.4388975968175548
7,I0006,caisr_sleep_n2_pct,sleep_architecture,0.0
7,I0006,caisr_sleep_n3_pct,sleep_architecture,-0.015020321955094116
7,I0006,caisr_sleep_rem_pct,sleep_architecture,-0.14115477941991347
7,I0006,caisr_sleep_transition_rate,fragmentation_uncertainty,0.0
7,I0006,caisr_sleep_short_bout_ratio,fragmentation_uncertainty,0.0675984591161223
7,I0006,caisr_sleep_mean_stage_entropy,fragmentation_uncertainty,0.5752741173080403
7,I0006,caisr_arousal_arousal_index,arousal,0.0
7,I0006,caisr_arousal_arousal_burden_ratio,arousal,-0.0893256255511829
7,I0006,caisr_arousal_mean_arousal_duration,arousal,0.01377236754314074
7,I0006,caisr_respiratory_respiratory_event_index,respiratory,-0.09251749963005595
7,I0006,caisr_respiratory_respiratory_burden_ratio,respiratory,-0.12531172867888826
7,I0006,caisr_respiratory_mean_resp_duration,respiratory,0.12924793433536533
7,I0006,caisr_limb_limb_movement_index,limb,0.34837763879510575
7,I0006,caisr_limb_plmi,limb,0.0847210521704839
7,S0001,caisr_sleep_tst_sec,sleep_architecture,0.0
7,S0001,caisr_sleep_se,sleep_architecture,-0.2763758170553772
7,S0001,caisr_sleep_sol_sec,sleep_architecture,0.0
7,S0001,caisr_sleep_rem_latency_sec,sleep_architecture,0.044778172385542166
7,S0001,caisr_sleep_waso_sec,sleep_architecture,0.0593983377281066
7,S0001,caisr_sleep_n1_pct,sleep_architecture,-0.09853177624644285
7,S0001,caisr_sleep_n2_pct,sleep_architecture,0.0
7,S0001,caisr_sleep_n3_pct,sleep_architecture,-0.12946144964779496
7,S0001,caisr_sleep_rem_pct,sleep_architecture,-0.11414255192984714
7,S0001,caisr_sleep_transition_rate,fragmentation_uncertainty,-0.06563872040006283
7,S0001,caisr_sleep_short_bout_ratio,fragmentation_uncertainty,0.0
7,S0001,caisr_sleep_mean_stage_entropy,fragmentation_uncertainty,0.3561111875941458
7,S0001,caisr_arousal_arousal_index,arousal,-0.43833376280927944
7,S0001,caisr_arousal_arousal_burden_ratio,arousal,-0.07297309166038538
7,S0001,caisr_arousal_mean_arousal_duration,arousal,0.06166047090459794
7,S0001,caisr_respiratory_respiratory_event_index,respiratory,-0.06573303020132551
7,S0001,caisr_respiratory_respiratory_burden_ratio,respiratory,0.0
7,S0001,caisr_respiratory_mean_resp_duration,respiratory,0.27840096213475407
7,S0001,caisr_limb_limb_movement_index,limb,0.3482819496503222
7,S0001,caisr_limb_plmi,limb,0.0
